ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description
;1;Figurka Horsea Funko POP Pokemon;(Funko,Pokemon);49,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Horsea Funko POP Pokemon.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Caterpie Funko POP Pokemon;(Funko,Pokemon);49,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Caterpie Funko POP Pokemon.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Sister Sage Funko POP! The Boys;(Funko,Inne Filmy i Seriale);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Sister Sage Funko POP! The Boys.</strong></p><p>Urocza figurka wykonana jest z winylu.</p><p>Wymiary: ok. 10 cm.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki Funko POP! dostêpne w naszym sklepie.</p></div>
;1;Figurka Darius Garland Funko POP! NBA Cavs 181;(Funko,Gad¿ety koszykarskie);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Darius Garland Funko POP! NBA Cavs 181.</strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 10 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span> </p><p><span style="font-size: small;"><strong>SprawdŸ tak¿e pozosta³e figurki Funko POP! dostêpne w naszym sklepie.</strong></span></p><div id="spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2" style="display: none;"> </div></div>
;1;Figurka Batman Soaring Funko POP! Deluxe 15 cm;(Funko,DC Comics);175,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Batman Soaring Funko POP! Deluxe 15 cm.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 15 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p><p><span style="font-size: small;">Z uwagi na wielkoœæ figurki opakowanie mo¿e nie byæ w idealnym stanie.</span></p></div>
;1;Figurka Frenchie Funko POP! The Boys;(Funko,Inne Filmy i Seriale);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Frenchie Funko POP! The Boys.</strong></p><p>Urocza figurka wykonana jest z winylu.</p><p>Wymiary: ok. 10 cm.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki Funko POP! dostêpne w naszym sklepie.</p></div>
;1;Figurka Firecracker Funko POP! The Boys;(Funko,Inne Filmy i Seriale);69,99z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Firecracker Funko POP! The Boys.</strong></p><p>Urocza figurka wykonana jest z winylu.</p><p>Wymiary: ok. 10 cm.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki Funko POP! dostêpne w naszym sklepie.</p></div>
;1;Figurka CHASE Chainsaw Man Funko POP Anime 1677;(Funko,Limited Edition (Exclusive));149,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka CHASE Limited Edition Chainsaw Man Funko POP! nr 1677.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Chainsaw Man Funko POP Anime 1677;(Funko,Funko POP!);69,99z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Chainsaw Man Funko POP! nr 1677.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Wymiary: ok. 9 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Aquaman and the Lost Kingdom DC Multiverse Black Manta 18 cm;(McFarlane Toys,Batman);75,00z³;McFarlane Toys;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Aquaman and the Lost Kingdom DC Multiverse Black Manta 18 cm.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Mo¿liwoœæ ustawienia figurki w ró¿nych pozycjach.</p><p>Wymiary: ok. 18 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu z motywami DC Comics.</p><p>Produkt oryginalny, licencjonowany.</p><p>SprawdŸ tak¿e pozosta³e figurki McFarlane Toys dostêpne w naszym geekowym sklepie.</p></div>
