ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten
;1;¯ó³wie Ninja (Tmnt);Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/zolwie-ninja-tmnt
;1;Inne Bajki, Anime, Komiksy;Gad¿ety Z Komiksów, Anime I Bajek;0;/gadzety-z-komiksow-anime-i-bajek/inne-bajki-anime-komiksy
;1;Gad¿ety Z Gier;Zakupy Wg Tematyki;0;/zakupy-wg-tematyki/gadzety-z-gier
;1;Assassin'S Creed;Gad¿ety Z Gier;0;/gadzety-z-gier/assassins-creed
;1;Borderlands;Gad¿ety Z Gier;0;/gadzety-z-gier/borderlands
;1;Call Of Duty;Gad¿ety Z Gier;0;/gadzety-z-gier/call-of-duty
;1;Cuphead;Gad¿ety Z Gier;0;/gadzety-z-gier/cuphead
;1;Cyberpunk 2077;Gad¿ety Z Gier;0;/gadzety-z-gier/cyberpunk-2077
;1;Fallout;Gad¿ety Z Gier;0;/gadzety-z-gier/fallout
;1;Five Nights At Freddy'S;Gad¿ety Z Gier;0;/gadzety-z-gier/five-nights-at-freddys
;1;Fortnite;Gad¿ety Z Gier;0;/gadzety-z-gier/fortnite
;1;God Of War;Gad¿ety Z Gier;0;/gadzety-z-gier/god-of-war
;1;League Of Legends;Gad¿ety Z Gier;0;/gadzety-z-gier/league-of-legends
;1;Legend Of Zelda;Gad¿ety Z Gier;0;/gadzety-z-gier/legend-of-zelda
;1;Mario Bros;Gad¿ety Z Gier;0;/gadzety-z-gier/mario-bros
;1;Mass Effect;Gad¿ety Z Gier;0;/gadzety-z-gier/mass-effect
;1;Minecraft;Gad¿ety Z Gier;0;/gadzety-z-gier/minecraft
;1;Nintendo;Gad¿ety Z Gier;0;/gadzety-z-gier/nintendo
;1;Overwatch;Gad¿ety Z Gier;0;/gadzety-z-gier/overwatch
;1;Pacman;Gad¿ety Z Gier;0;/gadzety-z-gier/pacman
;1;Playstation;Gad¿ety Z Gier;0;/gadzety-z-gier/playstation
;1;Poppy Playtime;Gad¿ety Z Gier;0;/gadzety-z-gier/poppy-playtime
;1;The Elder Scrolls Skyrim;Gad¿ety Z Gier;0;/gadzety-z-gier/the-elder-scrolls-skyrim
;1;Sonic;Gad¿ety Z Gier;0;/gadzety-z-gier/sonic
;1;Tetris;Gad¿ety Z Gier;0;/gadzety-z-gier/tetris
;1;WiedŸmin;Gad¿ety Z Gier;0;/gadzety-z-gier/wiedzmin
;1;World Of Warcraft;Gad¿ety Z Gier;0;/gadzety-z-gier/world-of-warcraft
;1;Inne Gry;Gad¿ety Z Gier;0;/gadzety-z-gier/inne-gry
;1;Gad¿ety Muzyczne;Zakupy Wg Tematyki;0;/zakupy-wg-tematyki/gadzety-muzyczne
;1;Pozosta³e Geekowe Gad¿ety;Zakupy Wg Tematyki;0;/zakupy-wg-tematyki/pozostale-geekowe-gadzety
;1;Producenci;Home;0;/home/producenci
;1;Bandai;Producenci;0;/producenci/bandai
;1;Dark Horse;Producenci;0;/producenci/dark-horse
;1;Difuzed;Producenci;0;/producenci/difuzed
;1;Funko;Producenci;0;/producenci/funko
;1;Furyu;Producenci;0;/producenci/furyu
;1;Good Smile Company;Producenci;0;/producenci/good-smile-company
;1;Hasbro;Producenci;0;/producenci/hasbro
;1;Hot Toys;Producenci;0;/producenci/hot-toys
;1;Loungefly By Funko;Producenci;0;/producenci/loungefly-by-funko
;1;Mcfarlane Toys;Producenci;0;/producenci/mcfarlane-toys
;1;Mezco Toys;Producenci;0;/producenci/mezco-toys
;1;Neca;Producenci;0;/producenci/neca
;1;Noble Collection;Producenci;0;/producenci/noble-collection
;1;Numskull;Producenci;0;/producenci/numskull
;1;Panini;Producenci;0;/producenci/panini
;1;The Carat Shop;Producenci;0;/producenci/the-carat-shop
;1;Weta Workshop;Producenci;0;/producenci/weta-workshop
;1;Youtooz;Producenci;0;/producenci/youtooz
;1;Manga;Home;0;/home/manga
;1;J.P. Fantastica;Manga;0;/manga/jp-fantastica
;1;Berserk;J.P. Fantastica;0;/jp-fantastica/berserk
;1;Naruto;J.P. Fantastica;0;/jp-fantastica/naruto
;1;Waneko;Manga;0;/manga/waneko
;1;Bungou Stray Dogs Dead Apple;Waneko;0;/waneko/bungou-stray-dogs-dead-apple
;1;Chainsaw Man;Waneko;0;/waneko/chainsaw-man
;1;Jujutsu Kaisen;Waneko;0;/waneko/jujutsu-kaisen
;1;Miecz Zabójcy Demonów;Waneko;0;/waneko/miecz-zabojcy-demonow
;1;My Hero Academia;Waneko;0;/waneko/my-hero-academia
;1;Spy X Family;Waneko;0;/waneko/spy-x-family
;1;The Promised Neverland;Waneko;0;/waneko/the-promised-neverland
;1;The Walking Cat;Waneko;0;/waneko/the-walking-cat
;1;Gry Karciane;Home;0;/home/gry-karciane
;1;Digimon;Gry Karciane;0;/gry-karciane/digimon
;1;Dragon Ball;Gry Karciane;0;/gry-karciane/dragon-ball
;1;Kolekcje Panini;Gry Karciane;0;/gry-karciane/kolekcje-panini
;1;Magic The Gathering;Gry Karciane;0;/gry-karciane/magic-the-gathering
;1;Marvel;Gry Karciane;0;/gry-karciane/marvel
;1;Karty Podarunkowe;Home;0;/home/karty-podarunkowe
;1;Nowoœci;Home;0;/home/nowosci
;1;Promocje;Home;0;/home/promocje
