ID;Active (0/1);Name *;Parent category;Root category (0/1);URL rewritten;ParentID
0;1;Home;;1;
2;1;Mystery Boxy;Home;0;mystery-boxy;1
3;1;Zakupy wg kategorii;Home;0;zakupy-wg-kategorii;1
4;1;Do Domu, Biura i Kuchni;Zakupy wg kategorii;0;do-domu-biura-i-kuchni;3
5;1;Akcesoria Kuchenne;Do Domu, Biura i Kuchni;0;akcesoria-kuchenne;4
6;1;Do Sypialni  Pokoju;Do Domu, Biura i Kuchni;0;do-sypialni--pokoju;4
7;1;Kubki  Kufle  Miski;Do Domu, Biura i Kuchni;0;kubki--kufle--miski;4
8;1;Lampki  Skarbonki;Do Domu, Biura i Kuchni;0;lampki--skarbonki;4
9;1;Zegary  Budziki;Do Domu, Biura i Kuchni;0;zegary--budziki;4
10;1;Pozostałe Akcesoria;Do Domu, Biura i Kuchni;0;pozostale-akcesoria;4
11;1;Gadżety;Zakupy wg kategorii;0;gadzety;3
12;1;Breloki;Gadżety;0;breloki;11
13;1;Długopisy  Zakładki;Gadżety;0;dlugopisy--zakladki;11
14;1;Gry  Puzzle;Gadżety;0;gry--puzzle;11
15;1;Maskotki;Gadżety;0;maskotki;11
16;1;Pozostałe Gadżety;Gadżety;0;pozostale-gadzety;11
17;1;Figurki;Zakupy wg kategorii;0;figurki;3
18;1;Figurki Action Modele;Figurki;0;figurki-action-modele;17
19;1;Funko POP!;Figurki;0;funko-pop;17
20;1;Limited Edition (Exclusive);Funko POP!;0;limited-edition-exclusive;19
21;1;Mini Figurki;Figurki;0;mini-figurki;17
22;1;Statuetki;Figurki;0;statuetki;17
23;1;Tubbz;Figurki;0;tubbz;17
24;1;Uszkodzone opakowania;Figurki;0;uszkodzone-opakowania;17
25;1;Odzież;Zakupy wg kategorii;0;odziez;3
26;1;Koszulki Męskie;Odzież;0;koszulki-meskie;25
27;1;Koszulki Damskie;Odzież;0;koszulki-damskie;25
28;1;Bluzy;Odzież;0;bluzy;25
29;1;Pozostałe;Odzież;0;pozostale;25
30;1;Dodatki;Zakupy wg kategorii;0;dodatki;3
31;1;Biżuteria;Dodatki;0;bizuteria;30
32;1;Bransoletki  Opaski;Dodatki;0;bransoletki--opaski;30
33;1;Czapki z daszkiem;Dodatki;0;czapki-z-daszkiem;30
34;1;Czapki zimowe;Dodatki;0;czapki-zimowe;30
35;1;Portfele;Dodatki;0;portfele;30
36;1;Plecaki;Dodatki;0;plecaki;30
37;1;Szaliki;Dodatki;0;szaliki;30
38;1;Torby & Worki;Dodatki;0;torby--worki;30
39;1;Pozostałe;Dodatki;0;pozostale;30
